Médico ID;Estratégia;Tática; Presc.EMS-1 ; Presc.EMS-2 ; Presc.EMS-3 ; Presc.EMS-O ; Potencial Prescritivo ; Potencia Concorrência ;Campanha;Qtde Brinde; Frequência de visita ;Visita Apresentação;Visita Acompanhamento;Visita Lançamento;Visita Prom;Material Promo;Amostras;Especial;Cidade;Região;Estado;Categoria ;Especialidade; Valor Consulta ;Convênios;Volume Pacientes;Perfil Localização;Perfil Pacientes;Idade
8269102;Entrada;Migração; 9.540,00 ; 3.040,00 ; 2.140,00 ; 13.740,00 ; 31.700,00 ; 3.240,00 ;6;13; 1,00 ;5;3;3;12;0;100;0;Porto Alegre;Central;RS;2;Cardiologista; 217,00 ;6;370;Região D;Indefinido;48
8269253;Referência;Foco MS-1; 8.910,00 ; 3.310,00 ; 1.610,00 ; 2.010,00 ; 21.350,00 ; 5.510,00 ;3;11; 0,83 ;4;3;2;10;5;20;0;Santos;Central;SP;1;Cardiologista; 314,00 ;5;345;Região C;Média Alta;50
8269404;Entrada;Foco MS-3; 9.030,00 ; 4.230,00 ; 1.230,00 ; 2.430,00 ; 30.450,00 ; 13.530,00 ;8;14; 1,08 ;5;5;3;13;1;60;0;Minas Gerais;Periférica;MG;2;Cardiologista; 246,00 ;7;450;Região A;Média Baixa;53
8269555;Conversão;Foco MS-3; 8.230,00 ; 3.730,00 ; 430,00 ; 6.030,00 ; 22.850,00 ; 4.430,00 ;2;0; 0,92 ;4;4;2;11;3;100;0;Minas Gerais;Periférica;MG;0;Cardiologista; 272,00 ;6;405;Região D;Média;54
8269706;Entrada;Foco MS-1; 2.410,00 ; 3.610,00 ; 1.410,00 ; 9.910,00 ; 35.050,00 ; 17.710,00 ;6;7; 0,42 ;1;3;1;5;4;80;0;Porto Alegre;Central;RS;2;Cardiologista; 277,00 ;0;110;Região E;Alta;47
8269857;Referência;Convencional; 4.100,00 ; 3.200,00 ; 1.100,00 ; 12.200,00 ; 22.000,00 ; 1.400,00 ;4;12; 0,42 ;1;2;1;5;0;80;0;Rio de Janeiro;Central;RJ;2;Cardiologista; 113,00 ;0;85;Região B;Indefinido;40
8270008;Manutenção;Foco MS-3; 5.630,00 ; 830,00 ; 1.430,00 ; 6.030,00 ; 30.050,00 ; 16.130,00 ;4;5; 0,33 ;2;0;1;4;1;80;0;Rio de Janeiro;Periférica;RJ;2;Cardiologista; 205,00 ;0;75;Região C;Média Alta;54
8270159;Entrada;Foco MS-1; 2.810,00 ; 410,00 ; 1.910,00 ; 12.210,00 ; 21.750,00 ; 4.410,00 ;3;3; 0,50 ;2;1;3;6;0;80;0;Minas Gerais;Central;MG;0;Cardiologista; 222,00 ;7;425;Região C;Indefinido;51
8270310;Referência;Foco MS-3; 7.830,00 ; 3.030,00 ; 1.530,00 ; 3.230,00 ; 21.450,00 ; 5.830,00 ;4;12; 0,75 ;3;3;2;9;0;80;0;São Paulo;Periférica;SP;0;Cardiologista; 267,00 ;2;200;Região E;Média;50
8270461;Conversão;Foco MS-3; 8.830,00 ; 4.630,00 ; 1.130,00 ; 8.930,00 ; 35.250,00 ; 11.730,00 ;7;12; 0,83 ;4;4;2;10;1;60;0;Santos;Periférica;SP;1;Cardiologista; 230,00 ;4;330;Região C;Indefinido;49
8270612;Entrada;Foco MS-3; 6.130,00 ; 630,00 ; 1.630,00 ; 13.330,00 ; 35.850,00 ; 14.130,00 ;2;5; 0,25 ;2;0;1;3;5;20;2901,549033;São Paulo;Periférica;SP;0;Cardiologista; 159,00 ;0;30;Região D;Indefinido;48
8270763;Entrada;Migração; 7.440,00 ; 5.140,00 ; 1.040,00 ; 9.440,00 ; 26.900,00 ; 3.840,00 ;7;12; 1,00 ;4;5;2;12;0;60;0;Salvador;Periférica;BA;1;Cardiologista; 387,00 ;6;380;Região D;Alta;38
8270914;Conversão;Migração; 5.540,00 ; 4.240,00 ; 1.540,00 ; 14.940,00 ; 36.900,00 ; 10.640,00 ;11;9; 0,83 ;3;4;3;10;5;20;0;Salvador;Central;BA;0;Cardiologista; 231,00 ;6;415;Região B;Média Baixa;46
8271065;Conversão;Foco MS-1; 7.110,00 ; 2.810,00 ; 1.710,00 ; 9.410,00 ; 31.650,00 ; 10.610,00 ;5;2; 0,83 ;4;3;2;10;2;80;0;São Paulo;Central;SP;1;Cardiologista; 328,00 ;6;370;Região A;Média;58
8271216;Conversão;Foco MS-2; 6.820,00 ; 1.620,00 ; 1.020,00 ; 5.320,00 ; 17.000,00 ; 2.220,00 ;6;7; 0,67 ;4;2;2;8;1;60;0;Porto Alegre;Central;RS;0;Cardiologista; 323,00 ;7;435;Região E;Média Alta;57
8271367;Conversão;Foco MS-2; 2.320,00 ; 2.420,00 ; 820,00 ; 13.720,00 ; 19.900,00 ; 620,00 ;8;14; 0,42 ;1;2;1;5;3;120;0;Rio de Janeiro;Periférica;RJ;1;Cardiologista; 261,00 ;0;70;Região B;Média Alta;47
8271518;Manutenção;Migração; 7.140,00 ; 140,00 ; 1.740,00 ; 2.240,00 ; 20.600,00 ; 9.340,00 ;6;14; 0,67 ;4;1;3;8;1;20;0;Minas Gerais;Central;MG;0;Cardiologista; 252,00 ;7;475;Região E;Média Baixa;52
8271669;Referência;Foco MS-3; 4.130,00 ; 4.130,00 ; 1.130,00 ; 6.530,00 ; 27.350,00 ; 11.430,00 ;9;6; 0,75 ;2;4;2;9;0;120;0;São Paulo;Central;SP;1;Cardiologista; 342,00 ;4;290;Região C;Alta;51
8271820;Entrada;Foco MS-2; 4.920,00 ; 2.020,00 ; 2.120,00 ; 3.720,00 ; 22.000,00 ; 9.220,00 ;2;5; 0,75 ;3;3;3;9;2;100;0;Salvador;Periférica;BA;1;Cardiologista; 239,00 ;6;430;Região D;Média Baixa;48
8271971;Manutenção;Migração; 2.440,00 ; 4.740,00 ; 1.140,00 ; 6.040,00 ; 26.100,00 ; 11.740,00 ;2;2; 0,58 ;1;4;1;7;5;20;0;Salvador;Periférica;BA;2;Cardiologista; 192,00 ;0;90;Região D;Média;38
8272122;Manutenção;Foco MS-3; 2.030,00 ; 4.430,00 ; 1.130,00 ; 5.330,00 ; 24.550,00 ; 11.630,00 ;4;14; 0,50 ;1;4;1;6;0;100;0;Santos;Central;SP;1;Cardiologista; 229,00 ;1;135;Região E;Média;46
8272273;Entrada;Foco MS-3; 4.930,00 ; 3.330,00 ; 630,00 ; 430,00 ; 19.150,00 ; 9.830,00 ;5;2; 0,58 ;2;3;1;7;3;100;0;Minas Gerais;Central;MG;1;Cardiologista; 150,00 ;0;95;Região A;Média Baixa;50
8272424;Entrada;Foco MS-2; 9.220,00 ; 4.120,00 ; 520,00 ; 8.020,00 ; 23.600,00 ; 1.720,00 ;6;4; 0,92 ;5;4;2;11;5;120;0;Minas Gerais;Periférica;MG;1;Cardiologista; 426,00 ;5;375;Região C;Alta;48
8272575;Manutenção;Foco MS-2; 5.220,00 ; 120,00 ; 920,00 ; 11.920,00 ; 30.400,00 ; 12.220,00 ;0;11; 0,58 ;3;1;2;7;5;40;0;Salvador;Central;BA;0;Cardiologista; 159,00 ;4;300;Região C;Indefinido;52
8272726;Conversão;Convencional; 7.900,00 ; 3.400,00 ; 1.800,00 ; 10.300,00 ; 40.500,00 ; 17.100,00 ;7;6; 0,92 ;4;4;3;11;0;100;0;Salvador;Central;BA;0;Cardiologista; 278,00 ;6;450;Região A;Média;49
8272877;Entrada;Foco MS-1; 6.410,00 ; 1.410,00 ; 1.110,00 ; 3.110,00 ; 12.750,00 ; 710,00 ;10;6; 0,58 ;3;1;2;7;5;120;0;Porto Alegre;Central;RS;2;Cardiologista; 169,00 ;3;245;Região C;Média Baixa;59
8273028;Entrada;Foco MS-2; 5.820,00 ; 2.920,00 ; 920,00 ; 5.220,00 ; 20.400,00 ; 5.520,00 ;0;13; 0,67 ;3;3;2;8;3;120;2294,204784;Rio de Janeiro;Central;RJ;1;Cardiologista; 192,00 ;3;260;Região A;Média;47
8273179;Entrada;Foco MS-2; 1.620,00 ; 4.620,00 ; 1.420,00 ; 11.520,00 ; 29.900,00 ; 10.720,00 ;4;12; 0,67 ;1;4;2;8;4;20;0;Porto Alegre;Periférica;RS;2;Cardiologista; 264,00 ;3;275;Região A;Média;48
8273330;Manutenção;Migração; 4.340,00 ; 1.740,00 ; 940,00 ; 6.640,00 ; 20.400,00 ; 6.740,00 ;3;8; 0,58 ;3;2;2;7;1;20;1914,839735;Minas Gerais;Central;MG;2;Cardiologista; 317,00 ;6;390;Região A;Média Alta;46
8273481;Entrada;Convencional; 8.100,00 ; 2.500,00 ; 1.600,00 ; 12.400,00 ; 40.200,00 ; 15.600,00 ;9;13; 0,83 ;4;3;2;10;0;20;0;Minas Gerais;Periférica;MG;0;Cardiologista; 207,00 ;5;340;Região B;Média Baixa;45
8273632;Manutenção;Foco MS-1; 4.510,00 ; 3.110,00 ; 510,00 ; 6.910,00 ; 31.750,00 ; 16.710,00 ;4;4; 0,42 ;2;2;1;5;3;80;0;Porto Alegre;Central;RS;1;Cardiologista; 253,00 ;0;100;Região E;Média Alta;51
8273783;Entrada;Foco MS-2; 520,00 ; 1.020,00 ; 1.720,00 ; 8.420,00 ; 25.800,00 ; 14.120,00 ;9;11; 0,58 ;1;2;3;7;3;80;0;São Paulo;Central;SP;0;Cardiologista; 357,00 ;7;450;Região B;Média Alta;56
8273934;Entrada;Foco MS-2; 9.920,00 ; 620,00 ; 1.720,00 ; 13.020,00 ; 33.000,00 ; 7.720,00 ;3;7; 0,67 ;4;1;2;8;3;80;0;São Paulo;Periférica;SP;0;Cardiologista; 219,00 ;2;180;Região C;Média;43
8274085;Entrada;Convencional; 2.600,00 ; 4.000,00 ; 900,00 ; 600,00 ; 12.900,00 ; 4.800,00 ;8;9; 0,75 ;2;4;2;9;4;20;0;Santos;Central;SP;2;Cardiologista; 215,00 ;5;350;Região B;Média Baixa;61
8274236;Conversão;Foco MS-1; 2.810,00 ; 3.510,00 ; 210,00 ; 7.910,00 ; 15.050,00 ; 610,00 ;0;8; 0,42 ;1;3;1;5;5;100;0;Salvador;Periférica;BA;0;Cardiologista; 154,00 ;2;175;Região B;Indefinido;46
8274387;Manutenção;Foco MS-2; 8.020,00 ; 120,00 ; 520,00 ; 12.220,00 ; 25.300,00 ; 4.420,00 ;7;7; 0,58 ;4;1;2;7;1;20;0;Santos;Central;SP;0;Cardiologista; 410,00 ;7;480;Região D;Alta;52
8274538;Entrada;Foco MS-2; 8.320,00 ; 220,00 ; 1.620,00 ; 2.620,00 ; 22.100,00 ; 9.320,00 ;7;0; 0,42 ;3;0;1;5;0;20;0;Porto Alegre;Central;RS;2;Cardiologista; 226,00 ;0;85;Região C;Média;48
8274689;Entrada;Foco MS-1; 3.010,00 ; 4.910,00 ; 410,00 ; 14.610,00 ; 37.050,00 ; 14.110,00 ;4;11; 0,50 ;1;4;1;6;4;80;0;Porto Alegre;Central;RS;0;Cardiologista; 223,00 ;2;175;Região A;Média Baixa;55
8274840;Conversão;Migração; 5.040,00 ; 3.040,00 ; 1.340,00 ; 1.640,00 ; 21.200,00 ; 10.140,00 ;1;5; 0,92 ;3;4;3;11;1;100;0;Rio de Janeiro;Periférica;RJ;1;Cardiologista; 215,00 ;7;445;Região D;Média Baixa;51
8274991;Entrada;Foco MS-2; 3.020,00 ; 4.820,00 ; 620,00 ; 15.020,00 ; 25.300,00 ; 1.820,00 ;10;12; 0,58 ;1;4;1;7;1;120;0;Salvador;Central;BA;1;Cardiologista; 300,00 ;1;115;Região B;Alta;49
8275142;Referência;Convencional; 1.800,00 ; 3.800,00 ; 500,00 ; 2.700,00 ; 23.000,00 ; 14.200,00 ;6;0; 0,50 ;1;3;1;6;0;80;0;Porto Alegre;Periférica;RS;1;Cardiologista; 354,00 ;2;175;Região A;Alta;46
8275293;Referência;Foco MS-1; 9.810,00 ; 2.410,00 ; 1.210,00 ; 3.310,00 ; 34.050,00 ; 17.310,00 ;8;6; 0,67 ;4;2;1;8;4;80;0;Minas Gerais;Central;MG;0;Cardiologista; 225,00 ;0;55;Região D;Média Alta;41
8275444;Entrada;Foco MS-1; 5.410,00 ; 4.610,00 ; 510,00 ; 11.410,00 ; 25.850,00 ; 3.910,00 ;6;2; 0,83 ;3;4;2;10;4;40;0;Santos;Central;SP;1;Cardiologista; 233,00 ;4;300;Região D;Média;50
8275595;Conversão;Foco MS-3; 5.530,00 ; 3.630,00 ; 1.230,00 ; 1.730,00 ; 27.550,00 ; 15.430,00 ;10;11; 0,75 ;3;4;2;9;4;100;0;São Paulo;Periférica;SP;0;Cardiologista; 203,00 ;4;340;Região E;Indefinido;50
8275746;Entrada;Convencional; 1.100,00 ; 1.300,00 ; 900,00 ; 200,00 ; 15.800,00 ; 12.300,00 ;3;9; 0,25 ;1;1;1;3;4;80;0;Rio de Janeiro;Periférica;RJ;0;Cardiologista; 237,00 ;1;175;Região E;Média Alta;35
8275897;Manutenção;Migração; 1.440,00 ; 140,00 ; 1.440,00 ; 13.640,00 ; 27.100,00 ; 10.440,00 ;6;4; 0,33 ;1;1;2;4;0;60;0;São Paulo;Central;SP;0;Cardiologista; 214,00 ;5;350;Região E;Média Baixa;48
8276048;Referência;Foco MS-3; 5.930,00 ; 1.330,00 ; 2.230,00 ; 8.030,00 ; 20.350,00 ; 2.830,00 ;5;3; 0,50 ;2;1;2;6;3;60;0;Rio de Janeiro;Periférica;RJ;1;Cardiologista; 169,00 ;0;75;Região E;Média Baixa;44
8276199;Entrada;Foco MS-1; 7.210,00 ; 1.510,00 ; 1.610,00 ; 3.910,00 ; 14.650,00 ; 410,00 ;9;14; 0,58 ;3;2;2;7;3;80;0;Rio de Janeiro;Central;RJ;1;Cardiologista; 202,00 ;3;245;Região C;Indefinido;47
8276350;Conversão;Foco MS-3; 9.230,00 ; 3.830,00 ; 430,00 ; 11.030,00 ; 38.950,00 ; 14.430,00 ;7;14; 0,75 ;4;3;1;9;3;40;0;Minas Gerais;Periférica;MG;2;Cardiologista; 243,00 ;1;105;Região C;Média Alta;50
8276501;Manutenção;Foco MS-3; 8.330,00 ; 1.330,00 ; 1.030,00 ; 8.430,00 ; 26.950,00 ; 7.830,00 ;9;11; 0,50 ;3;1;1;6;1;60;0;São Paulo;Central;SP;1;Cardiologista; 161,00 ;0;90;Região A;Indefinido;50
8276652;Referência;Foco MS-3; 5.430,00 ; 2.830,00 ; 2.030,00 ; 8.030,00 ; 36.250,00 ; 17.930,00 ;1;12; 0,58 ;2;2;2;7;5;100;0;Salvador;Central;BA;1;Cardiologista; 179,00 ;2;180;Região A;Indefinido;50
8276803;Referência;Convencional; 1.800,00 ; 600,00 ; 1.600,00 ; 4.900,00 ; 19.800,00 ; 10.900,00 ;6;9; 0,42 ;1;1;2;5;5;20;0;Minas Gerais;Central;MG;0;Cardiologista; 194,00 ;3;265;Região C;Média;48
8276954;Referência;Migração; 3.340,00 ; 4.540,00 ; 740,00 ; 11.540,00 ; 23.300,00 ; 3.140,00 ;5;12; 0,58 ;1;4;1;7;2;80;0;Salvador;Periférica;BA;0;Cardiologista; 157,00 ;1;175;Região E;Indefinido;44
8277105;Entrada;Convencional; 8.000,00 ; 1.300,00 ; 1.000,00 ; 5.200,00 ; 28.800,00 ; 13.300,00 ;0;6; 0,67 ;4;1;2;8;4;40;0;Santos;Central;SP;1;Cardiologista; 200,00 ;2;205;Região C;Média Baixa;49
8277256;Referência;Convencional; 4.500,00 ; 2.300,00 ; 1.000,00 ; 13.600,00 ; 22.900,00 ; 1.500,00 ;9;3; 0,42 ;2;2;1;5;2;100;0;Santos;Central;SP;2;Cardiologista; 165,00 ;1;150;Região D;Indefinido;47
8277407;Manutenção;Foco MS-2; 920,00 ; 2.120,00 ; 1.920,00 ; 6.820,00 ; 22.900,00 ; 11.120,00 ;9;14; 0,67 ;1;3;3;8;3;80;0;Minas Gerais;Central;MG;1;Cardiologista; 317,00 ;7;415;Região B;Média;40
8277558;Manutenção;Foco MS-1; 2.410,00 ; 810,00 ; 810,00 ; 3.110,00 ; 7.250,00 ; 110,00 ;10;5; 0,33 ;1;1;1;4;0;60;0;Porto Alegre;Periférica;RS;2;Cardiologista; 321,00 ;2;190;Região D;Alta;54
8277709;Referência;Foco MS-3; 3.030,00 ; 730,00 ; 730,00 ; 11.730,00 ; 33.250,00 ; 17.030,00 ;7;3; 0,50 ;2;1;2;6;0;100;0;Porto Alegre;Periférica;RS;1;Cardiologista; 393,00 ;5;315;Região B;Alta;45
8277860;Entrada;Convencional; 9.600,00 ; 1.700,00 ; 1.300,00 ; 8.500,00 ; 22.900,00 ; 1.800,00 ;10;13; 0,75 ;5;2;2;9;0;100;4099,628542;Rio de Janeiro;Central;RJ;2;Cardiologista; 172,00 ;6;360;Região B;Média Baixa;42
8278011;Manutenção;Foco MS-2; 6.120,00 ; 20,00 ; 920,00 ; 14.620,00 ; 39.100,00 ; 17.420,00 ;10;12; 0,58 ;3;1;2;7;2;120;3741,966585;São Paulo;Periférica;SP;2;Cardiologista; 413,00 ;5;375;Região C;Alta;42
8278162;Entrada;Foco MS-3; 7.530,00 ; 3.730,00 ; 230,00 ; 6.830,00 ; 35.550,00 ; 17.230,00 ;1;8; 0,92 ;4;4;2;11;1;100;0;Minas Gerais;Periférica;MG;2;Cardiologista; 234,00 ;5;395;Região A;Média Baixa;47
8278313;Referência;Foco MS-1; 9.710,00 ; 910,00 ; 1.010,00 ; 710,00 ; 28.150,00 ; 15.810,00 ;1;4; 0,67 ;5;1;2;8;1;80;0;Minas Gerais;Central;MG;2;Cardiologista; 303,00 ;4;340;Região E;Média;50
8278464;Referência;Foco MS-2; 9.920,00 ; 2.120,00 ; 720,00 ; 1.820,00 ; 20.400,00 ; 5.820,00 ;5;6; 0,58 ;4;2;1;7;5;100;0;Minas Gerais;Central;MG;2;Cardiologista; 284,00 ;1;135;Região D;Alta;40
8278615;Manutenção;Foco MS-3; 1.130,00 ; 3.430,00 ; 730,00 ; 8.930,00 ; 30.950,00 ; 16.730,00 ;7;7; 0,58 ;1;4;2;7;2;60;0;Minas Gerais;Periférica;MG;0;Cardiologista; 374,00 ;6;425;Região D;Alta;50
8278766;Manutenção;Convencional; 9.400,00 ; 1.700,00 ; 1.300,00 ; 3.800,00 ; 27.400,00 ; 11.200,00 ;0;12; 0,67 ;4;1;2;8;4;60;0;Rio de Janeiro;Central;RJ;0;Cardiologista; 309,00 ;2;165;Região E;Alta;45
8278917;Entrada;Convencional; 6.900,00 ; 1.400,00 ; 1.400,00 ; 12.500,00 ; 37.000,00 ; 14.800,00 ;5;13; 0,58 ;3;1;2;7;1;60;3836,080348;São Paulo;Central;SP;1;Cardiologista; 135,00 ;3;205;Região D;Média Baixa;42
8279068;Manutenção;Foco MS-1; 9.410,00 ; 2.510,00 ; 310,00 ; 7.710,00 ; 25.550,00 ; 5.610,00 ;11;2; 0,67 ;4;2;1;8;0;20;0;Porto Alegre;Central;RS;0;Cardiologista; 267,00 ;0;55;Região E;Alta;49
8279219;Entrada;Foco MS-2; 9.320,00 ; 1.520,00 ; 420,00 ; 3.520,00 ; 29.000,00 ; 14.220,00 ;11;7; 0,83 ;5;2;2;10;5;20;0;Rio de Janeiro;Central;RJ;2;Cardiologista; 193,00 ;4;340;Região E;Média Baixa;49
8279370;Referência;Foco MS-1; 4.410,00 ; 5.210,00 ; 2.210,00 ; 14.210,00 ; 43.850,00 ; 17.810,00 ;9;9; 0,75 ;2;5;2;9;4;20;0;Minas Gerais;Central;MG;1;Cardiologista; 341,00 ;3;235;Região B;Alta;51
8279521;Referência;Foco MS-3; 1.730,00 ; 1.130,00 ; 1.730,00 ; 630,00 ; 23.250,00 ; 18.030,00 ;6;12; 0,67 ;2;2;3;8;1;20;0;Rio de Janeiro;Central;RJ;0;Cardiologista; 305,00 ;7;505;Região A;Média Alta;37
8279672;Manutenção;Convencional; 2.200,00 ; 2.700,00 ; 1.500,00 ; 3.700,00 ; 12.700,00 ; 2.600,00 ;6;5; 0,67 ;2;3;2;8;5;80;0;Santos;Periférica;SP;2;Cardiologista; 260,00 ;5;360;Região C;Média;46
8279823;Manutenção;Foco MS-1; 5.010,00 ; 3.910,00 ; 710,00 ; 2.910,00 ; 21.150,00 ; 8.610,00 ;10;12; 0,50 ;2;3;1;6;2;100;0;Santos;Central;SP;0;Cardiologista; 222,00 ;1;125;Região D;Média Alta;41
8279974;Manutenção;Foco MS-2; 8.120,00 ; 2.320,00 ; 420,00 ; 6.120,00 ; 20.400,00 ; 3.420,00 ;3;9; 0,58 ;3;2;1;7;1;80;0;Rio de Janeiro;Periférica;RJ;0;Cardiologista; 135,00 ;0;30;Região C;Média Baixa;56
8280125;Entrada;Foco MS-3; 8.630,00 ; 4.730,00 ; 1.430,00 ; 8.030,00 ; 33.250,00 ; 10.430,00 ;4;4; 0,92 ;4;5;2;11;2;100;0;São Paulo;Central;SP;1;Cardiologista; 278,00 ;5;330;Região D;Média;46
8280276;Manutenção;Convencional; 8.600,00 ; 2.200,00 ; 1.400,00 ; 14.000,00 ; 31.100,00 ; 4.900,00 ;9;0; 0,75 ;4;2;2;9;3;100;0;Porto Alegre;Periférica;RS;1;Cardiologista; 191,00 ;3;205;Região B;Média;50
8280427;Entrada;Foco MS-1; 5.510,00 ; 4.210,00 ; 210,00 ; 12.610,00 ; 33.150,00 ; 10.610,00 ;6;4; 0,50 ;2;3;1;6;4;60;0;Rio de Janeiro;Periférica;RJ;1;Cardiologista; 218,00 ;1;120;Região D;Média Alta;46
8280578;Conversão;Foco MS-1; 2.910,00 ; 1.810,00 ; 110,00 ; 14.010,00 ; 24.950,00 ; 6.110,00 ;0;4; 0,42 ;1;2;1;5;5;100;0;Salvador;Periférica;BA;1;Cardiologista; 190,00 ;3;235;Região C;Indefinido;40
8280729;Conversão;Foco MS-1; 8.410,00 ; 4.910,00 ; 2.010,00 ; 2.210,00 ; 20.350,00 ; 2.810,00 ;9;14; 0,92 ;4;4;2;11;0;120;0;Porto Alegre;Periférica;RS;1;Cardiologista; 333,00 ;2;230;Região C;Alta;51
8280880;Manutenção;Foco MS-3; 3.430,00 ; 3.330,00 ; 530,00 ; 5.930,00 ; 15.250,00 ; 2.030,00 ;2;13; 0,75 ;3;4;2;9;0;60;0;São Paulo;Central;SP;1;Cardiologista; 280,00 ;7;485;Região A;Média Baixa;49
8281031;Manutenção;Foco MS-1; 5.810,00 ; 1.810,00 ; 1.010,00 ; 11.210,00 ; 25.350,00 ; 5.510,00 ;8;12; 0,58 ;3;2;2;7;2;120;0;Minas Gerais;Central;MG;1;Cardiologista; 370,00 ;5;330;Região D;Alta;46
8281182;Manutenção;Convencional; 3.400,00 ; 3.200,00 ; 200,00 ; 8.300,00 ; 20.500,00 ; 5.400,00 ;8;10; 0,58 ;2;3;2;7;2;100;0;São Paulo;Central;SP;0;Cardiologista; 333,00 ;6;395;Região B;Média Alta;49
8281333;Manutenção;Foco MS-3; 1.530,00 ; 1.230,00 ; 1.430,00 ; 2.230,00 ; 12.450,00 ; 6.030,00 ;1;7; 0,33 ;1;1;2;4;4;60;0;Porto Alegre;Periférica;RS;0;Cardiologista; 164,00 ;2;185;Região E;Indefinido;45
8281484;Referência;Foco MS-2; 9.120,00 ; 4.620,00 ; 2.020,00 ; 12.820,00 ; 43.900,00 ; 15.320,00 ;9;4; 0,83 ;4;4;2;10;3;20;0;São Paulo;Central;SP;0;Cardiologista; 230,00 ;4;260;Região B;Média Baixa;52
8281635;Referência;Foco MS-3; 430,00 ; 1.630,00 ; 1.130,00 ; 6.530,00 ; 22.550,00 ; 12.830,00 ;11;8; 0,33 ;0;2;2;4;4;120;0;Porto Alegre;Periférica;RS;2;Cardiologista; 221,00 ;3;220;Região D;Média;45
8281786;Conversão;Foco MS-1; 1.110,00 ; 310,00 ; 1.410,00 ; 5.810,00 ; 15.250,00 ; 6.610,00 ;6;5; 0,33 ;1;1;2;4;5;20;0;Porto Alegre;Periférica;RS;2;Cardiologista; 211,00 ;3;245;Região D;Indefinido;47
8281937;Entrada;Foco MS-2; 620,00 ; 4.220,00 ; 620,00 ; 2.420,00 ; 17.700,00 ; 9.820,00 ;7;5; 0,67 ;1;4;2;8;1;60;4770,915771;São Paulo;Periférica;SP;2;Cardiologista; 281,00 ;5;340;Região C;Média Alta;39
8282088;Manutenção;Migração; 4.040,00 ; 3.440,00 ; 1.040,00 ; 8.240,00 ; 29.600,00 ; 12.840,00 ;7;2; 0,50 ;1;3;1;6;1;120;0;Santos;Central;SP;0;Cardiologista; 174,00 ;0;85;Região D;Indefinido;54
8282239;Referência;Foco MS-1; 10.110,00 ; 2.610,00 ; 2.010,00 ; 9.210,00 ; 40.850,00 ; 16.910,00 ;10;14; 0,75 ;4;2;2;9;2;20;0;Minas Gerais;Central;MG;1;Cardiologista; 161,00 ;3;225;Região D;Média Baixa;45
8282390;Manutenção;Migração; 5.240,00 ; 140,00 ; 340,00 ; 6.140,00 ; 20.200,00 ; 8.340,00 ;1;2; 0,58 ;3;1;2;7;1;80;0;Rio de Janeiro;Central;RJ;1;Cardiologista; 281,00 ;7;450;Região E;Média;51
8282541;Entrada;Foco MS-3; 3.230,00 ; 2.530,00 ; 1.730,00 ; 6.630,00 ; 16.150,00 ; 2.030,00 ;4;12; 0,42 ;1;2;2;5;5;100;0;Santos;Periférica;SP;1;Cardiologista; 177,00 ;2;180;Região D;Média Baixa;42
8282692;Manutenção;Foco MS-1; 9.510,00 ; 2.810,00 ; 1.410,00 ; 3.610,00 ; 30.050,00 ; 12.710,00 ;1;14; 0,75 ;4;3;2;9;5;40;0;Santos;Periférica;SP;2;Cardiologista; 374,00 ;3;275;Região E;Alta;47
8282843;Manutenção;Migração; 5.540,00 ; 2.140,00 ; 1.740,00 ; 4.840,00 ; 16.400,00 ; 2.140,00 ;5;4; 0,75 ;3;3;3;9;0;20;0;Rio de Janeiro;Periférica;RJ;0;Cardiologista; 393,00 ;5;395;Região D;Alta;47
8282994;Conversão;Convencional; 8.800,00 ; 500,00 ; 800,00 ; 13.300,00 ; 28.300,00 ; 4.900,00 ;3;10; 0,42 ;3;0;1;5;3;60;0;Rio de Janeiro;Central;RJ;2;Cardiologista; 349,00 ;0;40;Região A;Alta;48
8283145;Manutenção;Convencional; 9.300,00 ; 1.200,00 ; 1.900,00 ; 10.000,00 ; 23.800,00 ; 1.400,00 ;5;4; 0,83 ;5;2;3;10;2;60;0;Minas Gerais;Periférica;MG;2;Cardiologista; 264,00 ;6;430;Região E;Indefinido;48
8283296;Conversão;Foco MS-2; 6.620,00 ; 1.520,00 ; 220,00 ; 7.120,00 ; 25.300,00 ; 9.820,00 ;10;10; 0,42 ;3;1;1;5;1;20;0;Santos;Central;SP;0;Cardiologista; 142,00 ;1;110;Região A;Indefinido;50
8283447;Manutenção;Migração; 6.240,00 ; 640,00 ; 440,00 ; 5.840,00 ; 19.400,00 ; 6.240,00 ;9;5; 0,58 ;3;1;2;7;5;40;0;Santos;Central;SP;1;Cardiologista; 241,00 ;4;300;Região D;Média Baixa;39
8283598;Entrada;Foco MS-3; 8.630,00 ; 230,00 ; 2.130,00 ; 12.730,00 ; 36.850,00 ; 13.130,00 ;0;14; 0,42 ;3;0;1;5;4;100;0;Santos;Periférica;SP;1;Cardiologista; 114,00 ;0;95;Região D;Média Baixa;41
8283749;Conversão;Foco MS-3; 9.930,00 ; 4.230,00 ; 1.430,00 ; 10.430,00 ; 40.050,00 ; 14.030,00 ;8;12; 1,08 ;5;5;3;13;0;40;0;Porto Alegre;Periférica;RS;2;Cardiologista; 248,00 ;7;495;Região E;Média Baixa;44
